feature,reason
loan_status,Data Leakage
last_pymnt_d,Data Leakage
last_pymnt_amnt,Data Leakage
recoveries,Data Leakage
collection_recovery_fee,Data Leakage
total_rec_prncp,Data Leakage
total_rec_int,Data Leakage
total_rec_late_fee,Data Leakage
total_pymnt,Data Leakage
total_pymnt_inv,Data Leakage
out_prncp,Data Leakage
out_prncp_inv,Data Leakage
policy_code,Constant Value
disbursement_method,Constant Value
fico_range_high,High Correlation
monthly_income,High Correlation
hardship_flag,Low IV
high_revol_util_flag,Low IV
pub_rec_bankruptcies,Low IV
initial_list_status,Low IV
pymnt_plan,Low IV
issue_d,Low IV
emp_length,Low IV
collections_12_mths_ex_med,Low IV
chargeoff_within_12_mths,Low IV
acc_now_delinq,Low IV
num_tl_30dpd,Low IV
application_type,Low IV
num_tl_120dpd_2m,Low IV
